Código|Data|Último|Abertura|Máxima|Mínima|Vol.|Var%
ABEV3|Ago 17|17,90|17,27|18,03|17,21|237,23M|3,71%
ABEV3|Jul 17|17,26|16,55|17,50|15,97|204,46M|4,59%
ABEV3|Jun 17|16,50|16,73|17,16|15,78|341,19M|-1,27%
ABEV3|Mai 17|16,72|16,41|17,80|16,13|342,87M|2,46%
ABEV3|Abr 17|16,31|16,26|16,44|15,55|232,21M|0,11%
ABEV3|Mar 17|16,30|16,07|16,41|14,97|265,32M|2,24%
ABEV3|Fev 17|15,94|15,43|16,61|15,00|187,60M|3,72%
ABEV3|Jan 17|15,37|14,54|15,61|14,39|215,26M|5,30%
ABEV3|Dez 16|14,59|14,92|14,98|14,05|277,89M|-3,07%
ABEV3|Nov 16|15,06|16,50|16,54|14,95|293,15M|-8,14%
ABEV3|Out 16|16,39|17,16|17,29|16,29|268,31M|-4,99%
ABEV3|Set 16|17,25|16,58|17,41|16,53|240,75M|3,28%
ABEV3|Ago 16|16,70|16,44|17,49|16,07|273,48M|2,07%
ABEV3|Jul 16|16,36|16,50|16,99|16,29|240,06M|-0,65%
ABEV3|Jun 16|16,47|16,42|16,95|15,62|281,31M|-0,31%
ABEV3|Mai 16|16,52|16,73|17,04|15,82|269,30M|-1,44%
ABEV3|Abr 16|16,76|16,02|16,89|15,69|262,52M|3,03%
ABEV3|Mar 16|16,27|15,37|16,92|15,28|420,24M|6,69%
ABEV3|Fev 16|15,25|15,83|16,27|15,10|231,48M|-4,80%
ABEV3|Jan 16|16,02|15,22|16,02|13,73|261,12M|4,54%
ABEV3|Dez 15|15,33|15,90|16,24|15,03|224,96M|-3,43%
ABEV3|Nov 15|15,87|16,26|16,85|15,50|224,39M|-2,36%
ABEV3|Out 15|16,25|16,53|17,42|15,55|286,22M|-1,70%
ABEV3|Set 15|16,53|15,76|17,05|15,73|312,19M|2,51%
ABEV3|Ago 15|16,13|16,35|16,95|14,33|295,30M|-1,90%
ABEV3|Jul 15|16,44|16,10|16,80|15,54|222,61M|1,88%
ABEV3|Jun 15|16,14|15,55|16,26|15,28|224,17M|4,37%
ABEV3|Mai 15|15,46|15,99|17,05|15,25|197,02M|-2,85%
ABEV3|Abr 15|15,92|15,67|16,55|15,48|214,35M|2,66%
ABEV3|Mar 15|15,50|15,39|15,94|14,71|233,91M|1,10%
ABEV3|Fev 15|15,34|14,65|15,79|14,35|184,98M|4,03%
ABEV3|Jan 15|14,74|13,42|14,94|12,92|253,25M|9,33%
ABEV3|Dez 14|13,48|13,67|13,83|12,37|225,20M|-2,97%
ABEV3|Nov 14|13,90|13,36|14,39|12,95|222,21M|2,74%
ABEV3|Out 14|13,53|12,89|13,77|12,16|406,17M|3,70%
ABEV3|Set 14|13,04|13,35|13,47|12,58|261,38M|-1,60%
ABEV3|Ago 14|13,25|12,76|13,65|12,21|258,78M|4,02%
ABEV3|Jul 14|12,74|12,71|13,59|12,48|241,68M|0,40%
ABEV3|Jun 14|12,69|12,83|13,29|12,43|192,00M|-0,63%
ABEV3|Mai 14|12,77|13,04|13,71|12,77|226,11M|-2,70%
ABEV3|Abr 14|13,13|13,51|14,36|13,03|231,32M|-3,10%
ABEV3|Mar 14|13,54|13,42|13,70|13,00|185,89M|0,41%
ABEV3|Fev 14|13,49|12,73|13,61|12,11|174,32M|4,91%
ABEV3|Jan 14|12,86|13,62|13,83|12,39|223,76M|-5,71%
ABEV3|Dez 13|13,64|13,70|13,96|12,77|157,71M|-1,37%
ABEV3|Nov 13|13,83|13,15|14,01|12,87|114,69M|5,21%
ABEV3|Out 13|13,14|13,48|13,77|12,95|5,24M|-1,45%
ABEV3|Set 13|13,33|13,14|13,85|12,51|5,94M|1,98%
ABEV3|Ago 13|13,08|13,41|13,83|12,47|7,21M|-2,69%
ABEV3|Jul 13|13,44|12,79|13,46|12,41|3,89M|4,13%
ABEV3|Jun 13|12,90|12,81|12,97|11,66|4,83M|0,65%
ABEV3|Mai 13|12,82|12,78|13,59|12,46|4,91M|0,31%
ABEV3|Abr 13|12,78|12,95|13,03|11,80|6,22M|-1,06%
ABEV3|Mar 13|12,92|13,63|14,06|12,71|5,29M|-5,28%
ABEV3|Fev 13|13,64|13,96|14,11|13,17|5,25M|-2,30%
ABEV3|Jan 13|13,96|13,08|14,18|13,00|7,00M|7,56%
ABEV3|Dez 12|12,98|11,89|13,46|11,75|10,41M|8,92%
ABEV3|Nov 12|11,92|10,48|11,92|10,28|26,65M|13,76%
ABEV3|Out 12|10,48|9,89|10,80|9,85|4,33M|7,12%
ABEV3|Set 12|9,78|9,66|9,89|9,36|5,34M|0,82%
ABEV3|Ago 12|9,70|9,73|9,89|9,12|4,84M|-0,82%
ABEV3|Jul 12|9,78|9,57|9,87|9,02|3,08M|1,80%
ABEV3|Jun 12|9,61|9,27|9,68|8,75|11,94M|1,53%
ABEV3|Mai 12|9,46|10,02|10,23|9,16|4,77M|-7,15%
ABEV3|Abr 12|10,19|9,52|10,46|9,30|3,85M|7,11%
ABEV3|Mar 12|9,51|8,73|10,12|8,57|4,31M|9,82%
ABEV3|Fev 12|8,66|7,69|8,66|7,65|5,15M|11,77%
ABEV3|Jan 12|7,75|8,12|8,19|7,55|3,98M|-4,76%
ABEV3|Dez 11|8,14|7,35|8,14|7,34|3,42M|10,08%
ABEV3|Nov 11|7,39|6,81|7,45|6,81|3,58M|6,99%
ABEV3|Out 11|6,91|6,68|7,15|6,58|4,43M|2,41%
ABEV3|Set 11|6,75|6,67|6,95|6,27|6,56M|1,08%
ABEV3|Ago 11|6,68|5,63|6,69|5,35|4,68M|18,46%
ABEV3|Jul 11|5,64|6,26|6,46|5,56|2,14M|-9,86%
ABEV3|Jun 11|6,25|5,90|6,32|5,74|2,88M|4,57%
ABEV3|Mai 11|5,98|6,11|6,47|5,89|1,88M|-2,47%
ABEV3|Abr 11|6,13|5,62|6,15|5,55|1,90M|8,71%
ABEV3|Mar 11|5,64|5,37|5,73|5,28|5,50M|5,11%
ABEV3|Fev 11|5,36|5,37|5,66|5,09|2,28M|-1,37%
ABEV3|Jan 11|5,44|6,19|6,30|5,33|2,15M|-12,51%
ABEV3|Dez 10|6,22|5,73|6,23|5,61|2,67M|4,66%
ABEV3|Nov 10|5,94|5,77|6,26|5,70|2,76M|2,95%
ABEV3|Out 10|5,77|5,24|6,10|5,22|4,09M|11,82%
ABEV3|Set 10|5,16|4,91|5,30|4,82|3,31M|5,31%
ABEV3|Ago 10|4,90|4,80|4,92|4,55|4,32M|2,30%
ABEV3|Jul 10|4,79|4,60|4,87|4,45|3,54M|4,59%
ABEV3|Jun 10|4,58|4,34|4,84|4,26|8,10M|6,02%
ABEV3|Mai 10|4,32|4,33|4,46|4,11|4,08M|0,00%
ABEV3|Abr 10|4,32|4,09|4,50|4,03|3,07M|6,67%
ABEV3|Mar 10|4,05|4,37|4,45|4,05|5,09M|-6,47%
ABEV3|Fev 10|4,33|4,46|4,58|4,13|2,60M|-0,69%
ABEV3|Jan 10|4,36|4,31|4,67|4,27|3,74M|1,87%
ABEV3|Dez 09|4,28|4,15|4,36|4,01|2,54M|3,38%
ABEV3|Nov 09|4,14|3,82|4,31|3,82|3,72M|6,70%
ABEV3|Out 09|3,88|3,67|4,11|3,62|4,57M|6,01%
ABEV3|Set 09|3,66|3,52|3,66|3,35|6,75M|4,87%
ABEV3|Ago 09|3,49|3,10|3,52|3,09|6,21M|12,58%
ABEV3|Jul 09|3,10|3,01|3,23|2,96|5,91M|1,64%
ABEV3|Jun 09|3,05|3,18|3,20|2,94|3,06M|-1,93%
ABEV3|Mai 09|3,11|2,88|3,21|2,78|6,33M|9,12%
ABEV3|Abr 09|2,85|2,58|2,96|2,54|2,96M|7,14%
ABEV3|Mar 09|2,66|2,34|2,66|2,17|3,15M|10,37%
ABEV3|Fev 09|2,41|2,29|2,47|2,25|2,03M|4,33%
ABEV3|Jan 09|2,31|2,38|2,54|2,21|2,54M|-4,55%
ABEV3|Dez 08|2,42|2,25|2,57|2,14|5,23M|5,22%
ABEV3|Nov 08|2,30|2,25|2,64|2,17|6,81M|0,88%
ABEV3|Out 08|2,28|2,64|2,64|2,01|10,75M|-12,98%
ABEV3|Set 08|2,62|2,46|2,67|2,34|6,77M|6,07%
ABEV3|Ago 08|2,47|2,33|2,55|2,29|6,26M|6,01%
ABEV3|Jul 08|2,33|2,60|2,63|2,20|9,10M|-13,38%
ABEV3|Jun 08|2,69|2,96|3,10|2,61|7,58M|-8,19%
ABEV3|Mai 08|2,93|3,10|3,27|2,92|6,02M|-5,48%
ABEV3|Abr 08|3,10|3,29|3,36|2,96|6,61M|-4,32%
ABEV3|Mar 08|3,24|3,60|3,70|3,15|7,79M|-9,24%
ABEV3|Fev 08|3,57|3,20|3,74|3,12|6,38M|11,56%
ABEV3|Jan 08|3,20|3,48|3,48|2,97|6,13M|-8,05%
ABEV3|Dez 07|3,48|3,61|3,66|3,35|5,41M|-3,06%
ABEV3|Nov 07|3,59|3,83|3,96|3,32|7,01M|-8,88%
ABEV3|Out 07|3,94|3,61|3,97|3,61|5,67M|8,24%
ABEV3|Set 07|3,64|3,65|3,79|3,41|5,83M|-2,41%
ABEV3|Ago 07|3,73|35,97|36,51|3,13|7,86M|-89,79%
ABEV3|Jul 07|36,52|38,04|39,06|35,96|5,64M|-4,00%
ABEV3|Jun 07|38,04|35,97|40,17|35,91|6,10M|5,75%
ABEV3|Mai 07|35,97|33,20|36,66|32,37|3,66M|10,64%
ABEV3|Abr 07|32,51|30,43|33,20|29,60|10,32M|9,42%
ABEV3|Mar 07|29,71|26,92|30,16|26,14|9,67M|9,59%
ABEV3|Fev 07|27,11|26,96|29,05|26,47|6,78M|0,56%
ABEV3|Jan 07|26,96|26,28|27,39|25,23|3,33M|3,33%
ABEV3|Dez 06|26,09|25,04|26,34|24,65|3,84M|4,15%
ABEV3|Nov 06|25,05|23,24|25,42|23,04|6,19M|6,91%
ABEV3|Out 06|23,43|24,04|24,90|22,82|4,95M|-3,54%
ABEV3|Set 06|24,29|23,52|24,70|23,10|6,56M|3,89%
ABEV3|Ago 06|23,38|21,69|23,62|21,30|13,97M|7,64%
ABEV3|Jul 06|21,72|22,13|23,38|21,16|5,19M|-1,85%
ABEV3|Jun 06|22,13|23,76|24,29|20,06|3,91M|-4,98%
ABEV3|Mai 06|23,29|24,35|25,54|21,86|6,17M|-2,10%
ABEV3|Abr 06|23,79|22,91|24,45|22,55|3,96M|5,13%
ABEV3|Mar 06|22,63|21,33|22,93|21,16|6,44M|4,87%
ABEV3|Fev 06|21,58|21,34|22,30|20,20|10,35K|1,12%
ABEV3|Jan 06|21,34|20,80|22,68|20,61|6,66K|2,60%
ABEV3|Dez 05|20,80|20,75|21,53|20,06|7,32K|1,76%
ABEV3|Nov 05|20,44|17,57|20,61|17,54|32,15K|16,33%
ABEV3|Out 05|17,57|18,65|19,31|16,82|21,05K|-5,23%
ABEV3|Set 05|18,54|16,60|19,37|16,60|7,65K|10,42%
ABEV3|Ago 05|16,79|16,54|17,43|16,32|10,37K|2,19%
ABEV3|Jul 05|16,43|16,60|17,10|15,91|9,00K|-1,02%
ABEV3|Jun 05|16,60|14,86|17,15|14,39|17,90K|-7,11%
ABEV3|Mai 05|17,87|17,43|18,81|16,60|1,75K|1,30%
ABEV3|Abr 05|17,64|26,28|26,28|16,60|0,47K|-39,28%
ABEV3|Mar 05|29,05|35,55|36,24|29,05|20,53K|-19,66%
ABEV3|Fev 05|36,16|35,97|36,93|35,00|5,86K|2,90%
ABEV3|Jan 05|35,14|38,73|39,01|34,40|1,91K|-7,16%
ABEV3|Dez 04|37,85|36,93|39,29|36,66|7,84K|0,83%
ABEV3|Nov 04|37,54|38,04|38,87|36,93|3,39K|-1,31%
ABEV3|Out 04|38,04|33,63|38,32|32,65|4,29K|12,71%
ABEV3|Set 04|33,75|32,65|34,17|32,65|4,28K|2,43%
ABEV3|Ago 04|32,95|31,82|34,03|30,43|2,02K|3,55%
