"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 98","0,08","0,08","0,08","0,08","0,07K","-11,11%"
"Mai 98","0,09","0,09","0,09","0,09","0,09K","12,50%"
"Dez 97","0,08","0,08","0,08","0,08","0,58K","0,00%"
"Jul 97","0,08","0,08","0,08","0,08","0,03K","33,33%"
"Mai 97","0,06","0,06","0,06","0,06","0,03K","0,00%"
"Abr 97","0,06","0,06","0,06","0,06","0,01K","0,00%"
"Mar 97","0,06","0,06","0,06","0,06","0,18K","20,00%"
"Out 96","0,05","0,05","0,05","0,05","0,04K","0,00%"
"Jul 96","0,05","0,05","0,05","0,05","0,27K","0,00%"
"Jun 96","0,05","0,05","0,05","0,05","0,06K","0,00%"
"Fev 96","0,05","0,05","0,05","0,05","0,03K","-16,67%"
"Jan 96","0,06","0,06","0,06","0,06","0,01K","0,00%"
"Dez 95","0,06","0,06","0,06","0,06","7,02K","0,00%"
"Nov 95","0,06","0,06","0,06","0,06","0,09K","0,00%"
"Ago 95","0,06","0,06","0,06","0,06","0,43K","0,00%"
"Jun 95","0,06","0,06","0,06","0,06","7,44K","0,00%"
"Mai 95","0,06","0,06","0,06","0,06","4,06K","20,00%"
"Abr 95","0,05","0,05","0,05","0,05","0,08K","-16,67%"
"Jan 95","0,06","0,06","0,06","0,06","0,01K","0,00%"
"Dez 94","0,06","0,06","0,06","0,06","0,03K","20,00%"
"Out 94","0,05","0,05","0,05","0,05","-","66,67%"
"Ago 94","0,03","0,03","0,03","0,03","0,03K","200,00%"
"Mar 94","0,01","0,00","0,01","0,00","0,05K","0,00%"
"Jan 94","0,00","0,00","0,00","0,00","0,19K","0,00%"
"Dez 93","0,00","0,00","0,00","0,00","0,05K","0,00%"
"Nov 93","0,00","0,00","0,00","0,00","0,31K","0,00%"
"Out 93","0,00","0,00","0,00","0,00","0,03K","0,00%"
"Set 93","0,00","0,00","0,00","0,00","1,01K","0,00%"
"Ago 93","0,00","0,00","0,00","0,00","-","0,00%"
"Jul 93","0,00","0,00","0,00","0,00","0,20K","0,00%"
"Mai 93","0,00","0,00","0,00","0,00","-","0,00%"
