"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Abr 10","4,32","4,09","4,50","4,03","3,07M","6,67%"
"Mar 10","4,05","4,37","4,45","4,05","5,09M","-6,47%"
"Fev 10","4,33","4,46","4,58","4,13","2,60M","-0,69%"
"Jan 10","4,36","4,31","4,67","4,27","3,74M","1,87%"
"Dez 09","4,28","4,15","4,36","4,01","2,54M","3,38%"
"Nov 09","4,14","3,82","4,31","3,82","3,72M","6,70%"
"Out 09","3,88","3,67","4,11","3,62","4,57M","6,01%"
"Set 09","3,66","3,52","3,66","3,35","6,75M","4,87%"
"Ago 09","3,49","3,10","3,52","3,09","6,21M","12,58%"
"Jul 09","3,10","3,01","3,23","2,96","5,91M","1,64%"
"Jun 09","3,05","3,18","3,20","2,94","3,06M","-1,93%"
"Mai 09","3,11","2,88","3,21","2,78","6,33M","9,12%"
"Abr 09","2,85","2,58","2,96","2,54","2,96M","7,14%"
"Mar 09","2,66","2,34","2,66","2,17","3,15M","10,37%"
"Fev 09","2,41","2,29","2,47","2,25","2,03M","4,33%"
"Jan 09","2,31","2,38","2,54","2,21","2,54M","-4,55%"
"Dez 08","2,42","2,25","2,57","2,14","5,23M","5,22%"
"Nov 08","2,30","2,25","2,64","2,17","6,81M","0,88%"
"Out 08","2,28","2,64","2,64","2,01","10,75M","-12,98%"
"Set 08","2,62","2,46","2,67","2,34","6,77M","6,07%"
"Ago 08","2,47","2,33","2,55","2,29","6,26M","6,01%"
"Jul 08","2,33","2,60","2,63","2,20","9,10M","-13,38%"
"Jun 08","2,69","2,96","3,10","2,61","7,58M","-8,19%"
"Mai 08","2,93","3,10","3,27","2,92","6,02M","-5,48%"
"Abr 08","3,10","3,29","3,36","2,96","6,61M","-4,32%"
"Mar 08","3,24","3,60","3,70","3,15","7,79M","-9,24%"
"Fev 08","3,57","3,20","3,74","3,12","6,38M","11,56%"
"Jan 08","3,20","3,48","3,48","2,97","6,13M","-8,05%"
"Dez 07","3,48","3,61","3,66","3,35","5,41M","-3,06%"
"Nov 07","3,59","3,83","3,96","3,32","7,01M","-8,88%"
"Out 07","3,94","3,61","3,97","3,61","5,67M","8,24%"
"Set 07","3,64","3,65","3,79","3,41","5,83M","-2,41%"
"Ago 07","3,73","35,97","36,51","3,13","7,86M","-89,79%"
"Jul 07","36,52","38,04","39,06","35,96","5,64M","-4,00%"
"Jun 07","38,04","35,97","40,17","35,91","6,10M","5,75%"
"Mai 07","35,97","33,20","36,66","32,37","3,66M","10,64%"
"Abr 07","32,51","30,43","33,20","29,60","10,32M","9,42%"
"Mar 07","29,71","26,92","30,16","26,14","9,67M","9,59%"
"Fev 07","27,11","26,96","29,05","26,47","6,78M","0,56%"
"Jan 07","26,96","26,28","27,39","25,23","3,33M","3,33%"
"Dez 06","26,09","25,04","26,34","24,65","3,84M","4,15%"
"Nov 06","25,05","23,24","25,42","23,04","6,19M","6,91%"
"Out 06","23,43","24,04","24,90","22,82","4,95M","-3,54%"
"Set 06","24,29","23,52","24,70","23,10","6,56M","3,89%"
"Ago 06","23,38","21,69","23,62","21,30","13,97M","7,64%"
"Jul 06","21,72","22,13","23,38","21,16","5,19M","-1,85%"
"Jun 06","22,13","23,76","24,29","20,06","3,91M","-4,98%"
"Mai 06","23,29","24,35","25,54","21,86","6,17M","-2,10%"
"Abr 06","23,79","22,91","24,45","22,55","3,96M","5,13%"
"Mar 06","22,63","21,33","22,93","21,16","6,44M","4,87%"
"Fev 06","21,58","21,34","22,30","20,20","10,35K","1,12%"
"Jan 06","21,34","20,80","22,68","20,61","6,66K","2,60%"
"Dez 05","20,80","20,75","21,53","20,06","7,32K","1,76%"
"Nov 05","20,44","17,57","20,61","17,54","32,15K","16,33%"
"Out 05","17,57","18,65","19,31","16,82","21,05K","-5,23%"
"Set 05","18,54","16,60","19,37","16,60","7,65K","10,42%"
"Ago 05","16,79","16,54","17,43","16,32","10,37K","2,19%"
"Jul 05","16,43","16,60","17,10","15,91","9,00K","-1,02%"
"Jun 05","16,60","14,86","17,15","14,39","17,90K","-7,11%"
"Mai 05","17,87","17,43","18,81","16,60","1,75K","1,30%"
"Abr 05","17,64","26,28","26,28","16,60","0,47K","-39,28%"
