"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 10","27,04","29,01","30,95","26,81","93,40M","-9,05%"
"Mai 10","29,73","31,66","32,01","25,75","109,87M","-7,18%"
"Abr 10","32,03","34,31","35,17","31,11","70,44M","-6,29%"
"Mar 10","34,18","33,43","35,99","32,89","102,17M","2,58%"
"Fev 10","33,32","33,14","33,58","30,09","91,43M","1,25%"
"Jan 10","32,91","35,91","36,91","32,07","69,61M","-8,23%"
"Dez 09","35,86","38,39","38,84","34,61","66,55M","-5,13%"
"Nov 09","37,80","34,16","38,56","34,16","56,38M","8,93%"
"Out 09","34,70","34,66","37,91","33,68","73,81M","-0,37%"
"Set 09","34,83","32,27","35,51","31,46","81,11M","8,84%"
"Ago 09","32,00","33,25","35,22","31,14","70,75M","-2,65%"
"Jul 09","32,87","34,25","34,67","29,60","74,69M","-3,07%"
"Jun 09","33,91","37,22","37,84","32,01","91,15M","-7,12%"
"Mai 09","36,51","31,92","37,64","31,73","87,81M","17,17%"
"Abr 09","31,16","29,24","33,56","29,10","97,18M","4,67%"
"Mar 09","29,77","27,09","33,13","25,16","121,92M","8,18%"
"Fev 09","27,52","24,92","29,37","24,92","81,73M","7,71%"
"Jan 09","25,55","23,39","26,57","22,41","71,72M","10,46%"
"Dez 08","23,13","19,27","25,11","16,72","83,64M","17,65%"
"Nov 08","19,66","24,09","26,16","16,18","76,37M","-17,01%"
"Out 08","23,69","34,68","35,17","17,63","144,74M","-32,22%"
"Set 08","34,95","35,23","37,21","27,25","100,84M","-1,05%"
"Ago 08","35,32","36,42","36,58","31,46","54,86M","-2,91%"
"Jul 08","36,38","46,36","47,45","33,73","70,03M","-22,15%"
"Jun 08","46,73","47,84","48,82","43,05","68,90M","-1,66%"
"Mai 08","47,52","43,46","52,90","41,91","83,33M","13,44%"
"Abr 08","41,89","37,58","44,46","36,59","69,61M","13,09%"
"Mar 08","37,04","40,49","41,39","33,61","70,92M","-8,23%"
"Fev 08","40,36","40,97","43,29","38,63","59,60M","1,36%"
"Jan 08","39,82","42,41","43,24","31,79","82,91M","-7,91%"
"Dez 07","43,24","35,83","43,24","34,65","61,76M","24,11%"
"Nov 07","34,84","33,36","43,24","32,19","87,29M","2,20%"
"Out 07","34,09","28,30","34,69","27,37","93,63M","20,29%"
"Set 07","28,34","24,94","28,96","24,91","56,66M","13,63%"
"Ago 07","24,94","24,74","25,34","21,18","94,87M","-0,04%"
"Jul 07","24,95","24,33","27,07","24,01","54,50M","3,79%"
"Jun 07","24,04","21,47","24,35","21,35","60,55M","13,56%"
"Mai 07","21,17","21,26","22,13","20,42","57,85M","1,10%"
"Abr 07","20,94","20,98","22,43","20,56","46,26M","-1,04%"
"Mar 07","21,16","19,34","21,30","18,13","62,39M","8,12%"
"Fev 07","19,57","21,59","21,59","19,30","58,47M","-7,95%"
"Jan 07","21,26","22,32","22,80","19,71","71,65M","-4,58%"
"Dez 06","22,28","20,90","22,49","20,42","41,84M","6,86%"
"Nov 06","20,85","19,22","21,02","19,01","45,55M","7,59%"
"Out 06","19,38","18,40","19,97","17,17","54,88M","4,53%"
"Set 06","18,54","19,63","20,22","16,81","54,70M","-4,58%"
"Ago 06","19,43","20,30","21,36","19,09","37,89M","-4,85%"
"Jul 06","20,42","19,63","20,65","18,93","31,98M","3,18%"
"Jun 06","19,79","20,33","20,85","16,54","51,60M","-2,08%"
"Mai 06","20,21","20,64","22,78","19,30","63,67M","-3,12%"
