"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 11","6,43","6,54","6,69","6,25","22,46M","-2,77%"
"Set 11","6,62","6,64","7,10","6,20","16,51M","1,05%"
"Ago 11","6,55","6,25","6,69","5,65","26,97M","5,23%"
"Jul 11","6,22","6,16","6,36","5,51","21,93M","2,12%"
"Jun 11","6,09","6,66","6,67","5,88","21,00M","-8,77%"
"Mai 11","6,68","5,97","6,95","5,93","18,32M","12,20%"
"Abr 11","5,95","6,23","6,47","5,82","21,42M","-4,49%"
"Mar 11","6,23","5,24","6,30","5,15","21,88M","19,11%"
"Fev 11","5,23","5,28","5,68","4,55","28,44M","-0,44%"
"Jan 11","5,26","5,84","6,12","4,89","19,65M","-10,32%"
"Dez 10","5,86","6,04","6,04","5,19","27,79M","-1,22%"
"Nov 10","5,93","5,71","6,77","5,26","57,00M","3,86%"
"Out 10","5,71","4,55","5,92","4,52","20,50M","20,76%"
"Set 10","4,73","4,45","4,74","4,16","27,32M","6,29%"
"Ago 10","4,45","3,93","4,83","3,92","21,09M","13,52%"
"Jul 10","3,92","3,81","4,04","3,67","11,55M","4,81%"
"Jun 10","3,74","3,29","3,74","3,18","14,45M","13,68%"
"Mai 10","3,29","3,00","3,33","2,92","17,32M","7,17%"
"Abr 10","3,07","3,34","3,40","3,04","19,11M","-8,08%"
"Mar 10","3,34","3,30","3,42","3,07","28,86M","0,00%"
"Fev 10","3,34","2,86","3,37","2,66","19,66M","14,38%"
"Jan 10","2,92","3,22","3,41","2,84","24,04M","-9,32%"
"Dez 09","3,22","2,69","3,22","2,47","35,01M","17,95%"
"Nov 09","2,73","2,35","2,83","2,35","16,92M","12,81%"
"Out 09","2,42","1,71","2,68","1,70","31,96M","40,70%"
"Set 09","1,72","1,53","1,73","1,52","14,14M","12,42%"
"Ago 09","1,53","1,48","1,57","1,40","22,14M","6,99%"
"Jul 09","1,43","1,41","1,49","1,31","21,10M","3,62%"
