"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Out 11","7,98","8,82","9,05","7,60","41,72M","-10,94%"
"Set 11","8,96","8,06","8,96","7,43","25,91M","11,89%"
"Ago 11","8,01","7,81","8,26","6,73","45,47M","2,91%"
"Jul 11","7,78","8,07","8,42","7,31","32,12M","-3,51%"
"Jun 11","8,07","8,74","8,89","7,79","21,85M","-8,57%"
"Mai 11","8,82","8,47","9,27","8,28","26,18M","5,00%"
"Abr 11","8,40","8,80","9,15","8,13","19,34M","-4,31%"
"Mar 11","8,78","8,75","9,63","8,53","19,69M","1,03%"
"Fev 11","8,69","8,90","9,54","7,87","26,26M","-3,12%"
"Jan 11","8,97","9,14","9,97","8,59","21,03M","-4,14%"
"Dez 10","9,36","9,48","10,03","9,00","34,08M","-0,30%"
"Nov 10","9,39","8,39","9,44","8,05","76,43M","8,26%"
"Out 10","8,67","7,17","8,67","7,13","46,63M","20,75%"
"Set 10","7,18","7,10","7,84","6,88","36,64M","0,00%"
"Ago 10","7,18","7,18","7,27","6,63","28,56M","0,84%"
"Jul 10","7,12","7,35","7,44","6,87","29,29M","-3,78%"
"Jun 10","7,40","7,15","7,64","6,77","28,83M","3,21%"
"Mai 10","7,17","6,48","7,40","6,12","46,94M","8,64%"
"Abr 10","6,60","6,18","6,63","5,56","43,43M","6,62%"
"Mar 10","6,19","6,09","6,26","5,75","21,32M","3,86%"
"Fev 10","5,96","6,31","6,42","5,63","15,27M","-5,55%"
"Jan 10","6,31","6,53","6,53","6,05","23,63M","-1,71%"
"Dez 09","6,42","5,74","6,64","5,62","22,02M","13,83%"
"Nov 09","5,64","5,09","5,84","5,09","19,95M","8,67%"
"Out 09","5,19","4,60","5,25","4,59","15,59M","10,19%"
"Set 09","4,71","4,38","4,87","4,38","19,13M","6,32%"
"Ago 09","4,43","4,06","4,81","3,96","20,57M","9,11%"
"Jul 09","4,06","3,62","4,06","3,57","20,14M","12,15%"
"Jun 09","3,62","3,79","4,06","3,52","20,21M","-3,47%"
"Mai 09","3,75","3,07","3,75","3,07","26,79M","18,30%"
"Abr 09","3,17","2,22","3,21","2,17","34,82M","43,44%"
"Mar 09","2,21","2,35","2,40","2,14","28,58M","-3,49%"
"Fev 09","2,29","2,12","2,40","2,03","25,13M","8,02%"
"Jan 09","2,12","1,98","2,14","1,84","14,44M","7,07%"
"Dez 08","1,98","2,05","2,10","1,82","18,20M","-3,41%"
"Nov 08","2,05","1,97","2,26","1,94","11,54M","5,13%"
"Out 08","1,95","2,36","2,36","1,76","32,57M","-17,37%"
"Set 08","2,36","3,02","3,07","2,30","26,61M","-21,07%"
"Ago 08","2,99","2,71","3,15","2,53","36,55M","8,33%"
"Jul 08","2,76","2,80","2,84","2,47","33,02M","0,36%"
"Jun 08","2,75","3,02","3,09","2,71","9,09M","-10,42%"
"Mai 08","3,07","2,98","3,24","2,94","11,07M","3,02%"
"Abr 08","2,98","2,83","3,13","2,68","10,46M","5,30%"
"Mar 08","2,83","2,72","2,93","2,68","25,70M","2,54%"
"Fev 08","2,76","2,51","2,77","2,34","12,32M","13,11%"
"Jan 08","2,44","3,09","3,11","2,01","23,21M","-19,47%"
"Dez 07","3,03","3,09","3,16","2,85","9,62M","-3,50%"
"Nov 07","3,14","3,16","3,47","2,75","12,73M","-4,27%"
"Out 07","3,28","3,06","3,54","3,02","15,20M","7,54%"
"Set 07","3,05","3,08","3,13","2,88","9,30M","-0,97%"
"Ago 07","3,08","2,88","3,16","2,49","13,66M","3,70%"
"Jul 07","2,97","3,25","3,32","2,84","22,15M","-8,90%"
"Jun 07","3,26","3,47","3,83","3,02","50,72M","-6,86%"
"Mai 07","3,50","3,03","3,50","2,91","16,07M","15,13%"
"Abr 07","3,04","2,95","3,04","2,65","21,07M","7,42%"
"Mar 07","2,83","2,62","2,98","2,44","15,13M","8,02%"
"Fev 07","2,62","2,57","3,03","2,48","17,57M","4,38%"
"Jan 07","2,51","2,43","2,57","2,28","25,13M","3,29%"
"Dez 06","2,43","2,48","2,53","2,19","48,02M","-6,54%"
"Nov 06","2,60","2,36","2,60","2,22","18,51M","12,07%"
"Out 06","2,32","2,11","2,41","2,11","17,82M","9,95%"
"Set 06","2,11","2,04","2,13","1,90","9,67M","3,94%"
"Ago 06","2,03","1,63","2,06","1,63","23,52M","24,54%"
"Jul 06","1,63","1,65","1,85","1,62","18,33M","0,00%"
"Jun 06","1,63","2,00","2,06","1,41","29,23M","-18,50%"
"Mai 06","2,00","2,05","2,21","1,80","53,06M","-5,21%"
"Abr 06","2,11","1,85","2,19","1,84","36,98M","14,05%"
