"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Ago 97","0,43","0,44","0,46","0,43","3,39M","-6,52%"
"Jul 97","0,46","0,42","0,47","0,42","6,46M","12,20%"
"Jun 97","0,41","0,38","0,44","0,36","182,96M","10,81%"
"Mai 97","0,37","0,42","0,43","0,37","1,23M","-9,76%"
"Abr 97","0,41","0,41","0,44","0,40","1,78M","-2,38%"
"Mar 97","0,42","0,41","0,43","0,40","3,46M","2,44%"
"Fev 97","0,41","0,35","0,41","0,35","2,46M","17,14%"
"Jan 97","0,35","0,34","0,35","0,32","1,61M","2,94%"
"Dez 96","0,34","0,33","0,34","0,32","1,08M","0,00%"
"Nov 96","0,34","0,35","0,35","0,33","3,33M","0,00%"
"Out 96","0,34","0,33","0,35","0,33","3,96M","3,03%"
"Set 96","0,33","0,32","0,33","0,32","2,34M","0,00%"
"Ago 96","0,33","0,32","0,34","0,32","3,98M","0,00%"
"Jul 96","0,33","0,31","0,35","0,31","1,37M","3,13%"
"Jun 96","0,32","0,31","0,33","0,28","2,60M","3,23%"
"Mai 96","0,31","0,29","0,32","0,29","8,04M","6,90%"
"Abr 96","0,29","0,29","0,30","0,26","2,46M","0,00%"
"Mar 96","0,29","0,30","0,31","0,28","2,01M","-3,33%"
"Fev 96","0,30","0,27","0,31","0,27","1,93M","7,14%"
"Jan 96","0,28","0,23","0,28","0,23","1,55M","27,27%"
"Dez 95","0,22","0,23","0,24","0,22","916,78K","-4,35%"
"Nov 95","0,23","0,22","0,23","0,21","1,94M","4,55%"
"Out 95","0,22","0,24","0,24","0,22","960,87K","-15,38%"
"Set 95","0,26","0,25","0,26","0,25","946,98K","8,33%"
"Ago 95","0,24","0,23","0,27","0,22","2,30M","4,35%"
"Jul 95","0,23","0,22","0,23","0,22","3,40M","-4,17%"
"Jun 95","0,24","0,22","0,24","0,22","2,31M","14,29%"
"Mai 95","0,21","0,20","0,22","0,17","2,18M","5,00%"
"Abr 95","0,20","0,19","0,20","0,18","1,02M","5,26%"
"Mar 95","0,19","0,18","0,20","0,17","1,27M","5,56%"
"Fev 95","0,18","0,18","0,18","0,17","1,92M","0,00%"
"Jan 95","0,18","0,16","0,18","0,16","863,03K","0,00%"
"Dez 94","0,18","0,19","0,21","0,17","1,46M","-10,00%"
"Nov 94","0,20","0,21","0,21","0,17","1,32M","-4,76%"
"Out 94","0,21","0,21","0,23","0,19","533,28K","0,00%"
"Set 94","0,21","0,22","0,23","0,19","614,21K","0,00%"
"Ago 94","0,21","0,16","0,24","0,15","3,01M","31,25%"
"Jul 94","0,16","0,14","0,16","0,14","89,38K","6,67%"
"Jun 94","0,15","0,11","0,15","0,10","14,77M","50,00%"
"Mai 94","0,10","0,07","0,11","0,07","1,16M","42,86%"
"Abr 94","0,07","0,06","0,07","0,05","1,12M","16,67%"
"Mar 94","0,06","0,04","0,06","0,04","652,26K","50,00%"
"Fev 94","0,04","0,03","0,05","0,03","869,07K","33,33%"
"Jan 94","0,03","0,02","0,03","0,02","1,27M","50,00%"
"Dez 93","0,02","0,01","0,02","0,01","2,55M","100,00%"
"Nov 93","0,01","0,01","0,01","0,01","4,14M","0,00%"
"Out 93","0,01","0,01","0,01","0,01","706,61K","0,00%"
"Set 93","0,01","0,01","0,01","0,01","715,07K","0,00%"
"Ago 93","0,01","0,00","0,01","0,00","1,02M","0,00%"
"Jul 93","0,00","0,00","0,00","0,00","1,81M","0,00%"
"Jun 93","0,00","0,00","0,00","0,00","608,77K","0,00%"
"Mai 93","0,00","0,00","0,00","0,00","875,71K","0,00%"
"Abr 93","0,00","0,00","0,00","0,00","1,08M","0,00%"
"Mar 93","0,00","0,00","0,00","0,00","1,03M","0,00%"
"Fev 93","0,00","0,00","0,00","0,00","35,29M","0,00%"
"Jan 93","0,00","0,00","0,00","0,00","337,00K","0,00%"
"Dez 92","0,00","0,00","0,00","0,00","907,12K","0,00%"
"Nov 92","0,00","0,00","0,00","0,00","1,66M","0,00%"
